id,city,timestamp,temperature,humidity,wind_speed,pm10,pm2_5,nitrogen_dioxide,ozone
102,Mumbai,2025-11-16 02:26:03.771611+00:00,25.1,41.0,4.5,66.55,63.95,25.75,92.0
103,Patna,2025-11-16 02:26:04.029644+00:00,16.4,72.0,2.1944444444444446,100.95,92.35,20.25,59.0
104,Pune,2025-11-16 02:26:03.932127+00:00,15.6,59.0,1.8888888888888888,40.55,38.85,10.25,84.0
105,Surat,2025-11-16 02:26:04.207071+00:00,18.8,51.0,3.8055555555555554,63.25,61.15,32.25,60.0
106,Ahmedabad,2025-11-16 03:37:48.393643+00:00,19.0,46.0,5.5,31.15,29.45,8.05,84.0
107,Bengaluru,2025-11-16 03:37:48.165484+00:00,20.2,83.0,3.3888888888888884,52.15,48.15,6.95,95.0
108,Bhopal,2025-11-16 03:37:48.593702+00:00,17.0,36.0,3.194444444444444,55.45,50.45,11.15,74.0
109,Chennai,2025-11-16 03:37:48.196049+00:00,27.2,84.0,8.38888888888889,41.45,34.35,2.25,116.0
110,Dehradun,2025-11-16 03:37:48.631573+00:00,19.2,39.0,1.0,23.35,23.05,31.15,5.0
111,Delhi,2025-11-16 03:37:48.193515+00:00,14.3,72.0,2.111111111111111,71.85,66.25,23.35,48.0
112,Hyderabad,2025-11-16 03:37:48.185297+00:00,21.1,46.0,2.8055555555555554,71.65,67.65,17.75,90.0
113,Indore,2025-11-16 03:37:48.433359+00:00,18.1,52.0,4.0,52.55,49.15,14.35,54.0
114,Jaipur,2025-11-16 03:37:48.418799+00:00,18.1,45.0,1.1111111111111112,46.45,42.65,27.25,34.0
115,Kolkata,2025-11-16 03:37:48.200816+00:00,22.1,65.0,3.3888888888888884,125.65,122.35,22.65,55.0
116,Lucknow,2025-11-16 03:37:48.424319+00:00,18.0,73.0,1.1111111111111112,111.95,107.95,32.05,30.0
117,Mumbai,2025-11-16 03:37:48.172183+00:00,26.3,39.0,4.111111111111112,61.85,59.55,27.65,74.0
118,Patna,2025-11-16 03:37:48.561499+00:00,18.2,60.0,2.5,104.65,96.05,18.65,55.0
119,Pune,2025-11-16 03:37:48.510858+00:00,20.3,46.0,3.194444444444444,38.95,37.25,9.05,74.0
120,Surat,2025-11-16 03:37:48.624524+00:00,24.0,40.0,4.805555555555555,61.35,59.55,34.95,53.0
121,Ahmedabad,2025-11-16 04:46:35.585524+00:00,22.1,38.0,5.388888888888888,31.85,30.15,8.65,82.0
122,Bengaluru,2025-11-16 04:46:35.364740+00:00,22.3,78.0,3.194444444444444,52.05,47.95,7.65,97.0
123,Bhopal,2025-11-16 04:46:35.791116+00:00,19.3,35.0,3.5,55.75,51.15,10.65,75.0
124,Chennai,2025-11-16 04:46:35.352694+00:00,27.3,84.0,8.5,40.55,33.65,2.55,116.0
125,Dehradun,2025-11-16 04:46:35.820621+00:00,20.9,36.0,1.3888888888888888,20.65,20.35,28.95,5.0
126,Delhi,2025-11-16 04:46:35.357391+00:00,17.2,55.0,2.111111111111111,72.35,67.65,24.35,46.0
127,Hyderabad,2025-11-16 04:46:35.386419+00:00,23.3,38.0,3.1111111111111107,73.45,69.55,17.45,94.0
128,Indore,2025-11-16 04:46:35.629902+00:00,21.3,40.0,4.111111111111112,53.05,49.65,13.95,56.0
129,Jaipur,2025-11-16 04:46:35.600743+00:00,23.2,33.0,1.3055555555555556,45.35,41.25,25.75,35.0
130,Kolkata,2025-11-16 04:46:35.400131+00:00,25.1,51.0,3.5,123.75,120.55,21.75,58.0
131,Lucknow,2025-11-16 04:46:35.615801+00:00,21.1,49.0,1.1111111111111112,110.75,107.05,28.75,33.0
132,Mumbai,2025-11-16 04:46:35.378292+00:00,27.0,37.0,3.8055555555555554,59.45,57.05,28.45,70.0
133,Patna,2025-11-16 04:46:35.623029+00:00,21.1,49.0,2.694444444444444,107.25,98.85,18.45,57.0
134,Pune,2025-11-16 04:46:35.597599+00:00,22.1,40.0,4.0,39.25,37.75,9.85,70.0
135,Surat,2025-11-16 04:46:35.835055+00:00,26.3,36.0,4.888888888888889,60.25,58.35,35.95,51.0
136,Ahmedabad,2025-11-16 05:42:22.729578+00:00,25.2,30.0,5.194444444444444,32.65,30.75,10.75,76.0
137,Bengaluru,2025-11-16 05:42:22.484767+00:00,24.2,69.0,3.1111111111111107,53.35,49.35,9.75,99.0
138,Bhopal,2025-11-16 05:42:22.884121+00:00,21.3,33.0,3.3888888888888884,57.15,52.65,10.65,74.0
139,Chennai,2025-11-16 05:42:22.471193+00:00,28.2,79.0,8.694444444444445,40.35,33.55,3.25,117.0
140,Dehradun,2025-11-16 05:42:22.922161+00:00,21.7,35.0,2.1944444444444446,20.45,20.15,28.45,6.0
141,Delhi,2025-11-16 05:42:22.473846+00:00,20.3,46.0,2.5,77.25,73.05,28.65,41.0
142,Hyderabad,2025-11-16 05:42:22.487167+00:00,24.2,36.0,3.3888888888888884,79.55,75.35,20.95,95.0
143,Indore,2025-11-16 05:42:22.738584+00:00,24.1,34.0,3.8055555555555554,54.65,51.15,14.45,57.0
144,Jaipur,2025-11-16 05:42:22.699948+00:00,24.1,24.0,1.3888888888888888,45.45,41.25,25.65,35.0
145,Kolkata,2025-11-16 05:42:22.476349+00:00,26.2,48.0,3.5,124.25,120.95,21.25,72.0
146,Lucknow,2025-11-16 05:42:22.726760+00:00,24.2,39.0,1.1944444444444444,114.05,110.55,26.85,38.0
147,Mumbai,2025-11-16 05:42:22.482008+00:00,28.4,37.0,3.5,56.65,54.45,30.25,67.0
148,Patna,2025-11-16 05:42:22.725084+00:00,23.0,41.0,2.611111111111111,113.55,105.65,18.85,62.0
149,Pune,2025-11-16 05:42:22.764787+00:00,23.5,36.0,4.194444444444445,41.75,40.15,12.05,68.0
150,Surat,2025-11-16 05:42:22.920083+00:00,28.0,32.0,4.694444444444444,59.65,57.75,35.95,49.0
151,Ahmedabad,2025-11-16 06:49:24.589491+00:00,27.1,26.0,4.888888888888889,34.35,32.55,13.55,68.0
152,Bengaluru,2025-11-16 06:49:24.356246+00:00,26.1,61.0,3.0,54.25,50.65,12.65,100.0
153,Bhopal,2025-11-16 06:49:24.811879+00:00,23.3,25.0,3.194444444444444,58.05,53.85,10.95,74.0
154,Chennai,2025-11-16 06:49:24.353497+00:00,29.1,75.0,9.0,41.55,34.45,4.25,119.0
155,Dehradun,2025-11-16 06:49:24.760797+00:00,22.2,35.0,2.388888888888889,24.05,23.75,28.45,10.0
156,Delhi,2025-11-16 06:49:24.372033+00:00,23.1,41.0,3.1111111111111107,84.95,81.15,34.55,36.0
157,Hyderabad,2025-11-16 06:49:24.369340+00:00,25.0,30.0,3.611111111111111,85.65,81.65,26.05,96.0
158,Indore,2025-11-16 06:49:24.630961+00:00,25.1,28.0,3.6944444444444446,56.85,53.35,15.25,60.0
159,Jaipur,2025-11-16 06:49:24.563521+00:00,25.0,26.0,1.3055555555555556,47.15,43.15,26.05,37.0
160,Kolkata,2025-11-16 06:49:24.381443+00:00,27.1,45.0,3.5,118.65,116.35,20.85,92.0
161,Lucknow,2025-11-16 06:49:24.596623+00:00,25.4,32.0,1.0,117.25,114.45,25.55,47.0
162,Mumbai,2025-11-16 06:49:24.340144+00:00,29.1,37.0,2.611111111111111,56.65,54.75,38.75,47.0
163,Patna,2025-11-16 06:49:24.576413+00:00,25.1,34.0,2.388888888888889,114.05,107.95,19.45,72.0
164,Pune,2025-11-16 06:49:24.525911+00:00,24.7,32.0,3.888888888888889,45.55,44.15,14.95,67.0
165,Surat,2025-11-16 06:49:24.763604+00:00,29.0,30.0,4.0,60.95,59.05,35.25,49.0
166,Ahmedabad,2025-11-16 07:39:04.567899+00:00,28.2,23.0,4.611111111111112,35.05,33.65,14.65,69.0
167,Bengaluru,2025-11-16 07:39:03.792923+00:00,26.2,61.0,2.8055555555555554,50.75,46.95,13.85,104.0
168,Bhopal,2025-11-16 07:39:04.113534+00:00,24.2,22.0,3.194444444444444,53.75,50.55,10.35,81.0
169,Chennai,2025-11-16 07:39:03.740291+00:00,29.4,70.0,9.0,42.55,35.15,4.75,121.0
170,Dehradun,2025-11-16 07:39:04.222717+00:00,22.4,35.0,2.1944444444444446,27.05,26.45,26.15,27.0
171,Delhi,2025-11-16 07:39:03.790977+00:00,24.1,36.0,3.194444444444444,83.75,80.75,36.95,43.0
172,Hyderabad,2025-11-16 07:39:03.795991+00:00,26.1,30.0,3.8055555555555554,63.75,61.15,27.45,102.0
173,Indore,2025-11-16 07:39:04.551435+00:00,25.1,28.0,3.3888888888888884,54.05,50.75,14.65,70.0
174,Jaipur,2025-11-16 07:39:04.342042+00:00,26.3,17.0,1.6944444444444442,42.05,39.65,24.35,47.0
175,Kolkata,2025-11-16 07:39:03.787841+00:00,28.4,42.0,3.5,112.85,109.85,19.25,116.0
176,Lucknow,2025-11-16 07:39:04.034873+00:00,26.1,30.0,1.0,107.05,104.95,22.95,66.0
177,Mumbai,2025-11-16 07:39:03.797748+00:00,30.4,33.0,1.611111111111111,51.95,50.05,31.45,77.0
178,Patna,2025-11-16 07:39:04.021764+00:00,26.3,28.0,2.388888888888889,110.95,105.15,18.55,89.0
179,Pune,2025-11-16 07:39:03.926041+00:00,25.6,29.0,3.611111111111111,41.95,40.75,15.75,76.0
180,Surat,2025-11-16 07:39:04.213375+00:00,29.6,28.0,3.194444444444444,62.35,60.95,34.15,56.0
181,Ahmedabad,2025-11-16 08:46:00.801441+00:00,29.2,19.0,4.388888888888889,35.75,33.75,12.45,85.0
182,Bengaluru,2025-11-16 08:46:00.622197+00:00,27.1,58.0,2.694444444444444,44.85,41.45,11.55,113.0
183,Bhopal,2025-11-16 08:46:00.957649+00:00,24.3,22.0,3.1111111111111107,50.95,46.45,7.95,102.0
184,Chennai,2025-11-16 08:46:00.574970+00:00,29.4,75.0,9.0,42.85,35.45,4.25,124.0
185,Dehradun,2025-11-16 08:46:01.142184+00:00,22.3,36.0,2.305555555555556,22.35,21.55,19.05,70.0
186,Delhi,2025-11-16 08:46:00.587036+00:00,26.1,26.0,3.8055555555555554,80.25,77.45,32.75,73.0
187,Hyderabad,2025-11-16 08:46:00.572270+00:00,26.3,30.0,3.888888888888889,51.25,47.75,21.15,120.0
188,Indore,2025-11-16 08:46:00.826137+00:00,25.0,32.0,3.3055555555555554,50.25,45.75,11.15,94.0
189,Jaipur,2025-11-16 08:46:00.799219+00:00,27.4,16.0,1.8055555555555556,33.45,30.85,18.25,73.0
190,Kolkata,2025-11-16 08:46:00.577613+00:00,28.1,40.0,3.611111111111111,102.15,98.15,14.85,145.0
191,Lucknow,2025-11-16 08:46:00.803623+00:00,27.0,30.0,1.0,98.65,96.55,17.25,106.0
192,Mumbai,2025-11-16 08:46:00.554381+00:00,31.3,26.0,1.3055555555555556,59.75,57.65,37.45,93.0
193,Patna,2025-11-16 08:46:00.829829+00:00,26.3,28.0,2.305555555555556,107.75,100.75,14.55,123.0
194,Pune,2025-11-16 08:46:00.764279+00:00,26.2,27.0,3.3055555555555554,41.35,39.75,12.45,101.0
195,Surat,2025-11-16 08:46:01.002344+00:00,29.9,27.0,2.388888888888889,64.85,63.05,32.65,76.0
196,Ahmedabad,2025-11-16 09:40:26.453511+00:00,29.4,20.0,4.305555555555555,36.35,33.75,8.65,109.0
197,Bengaluru,2025-11-16 09:40:26.243796+00:00,26.2,61.0,3.1111111111111107,47.65,43.95,8.25,127.0
198,Bhopal,2025-11-16 09:40:26.594706+00:00,24.3,21.0,3.3888888888888884,58.05,49.75,4.85,130.0
199,Chennai,2025-11-16 09:40:26.226854+00:00,28.4,79.0,8.5,50.65,42.25,3.15,131.0
200,Dehradun,2025-11-16 09:40:26.643471+00:00,21.5,41.0,2.1944444444444446,17.95,17.65,9.75,129.0
201,Delhi,2025-11-16 09:40:26.245733+00:00,26.0,26.0,3.3888888888888884,78.35,76.75,24.15,112.0
202,Hyderabad,2025-11-16 09:40:26.229882+00:00,28.1,28.0,3.888888888888889,41.05,38.15,9.45,136.0
203,Indore,2025-11-16 09:40:26.488539+00:00,26.1,32.0,3.3055555555555554,47.15,40.85,6.05,123.0
204,Jaipur,2025-11-16 09:40:26.459193+00:00,27.3,15.0,1.1944444444444444,35.85,32.75,11.25,103.0
205,Kolkata,2025-11-16 09:40:26.258709+00:00,28.2,42.0,3.1111111111111107,92.55,86.25,9.05,174.0
206,Lucknow,2025-11-16 09:40:26.456394+00:00,26.0,34.0,1.6944444444444442,92.85,90.05,9.35,145.0
207,Mumbai,2025-11-16 09:40:26.250117+00:00,32.2,28.0,1.8888888888888888,48.55,46.85,18.55,145.0
208,Patna,2025-11-16 09:40:26.460926+00:00,26.3,30.0,2.5,108.85,99.15,9.55,160.0
209,Pune,2025-11-16 09:40:26.417856+00:00,26.5,27.0,2.694444444444444,41.05,39.05,7.15,138.0
210,Surat,2025-11-16 09:40:26.907944+00:00,30.0,29.0,2.888888888888889,78.35,75.15,27.05,100.0
211,Ahmedabad,2025-11-16 10:42:26.616632+00:00,28.2,20.0,3.6944444444444446,39.65,36.25,5.65,129.0
212,Bengaluru,2025-11-16 10:42:26.385207+00:00,26.3,65.0,3.1111111111111107,42.75,39.65,4.55,137.0
213,Bhopal,2025-11-16 10:42:26.820614+00:00,24.1,21.0,2.888888888888889,63.05,53.55,2.35,149.0
214,Chennai,2025-11-16 10:42:26.485972+00:00,28.1,79.0,8.38888888888889,49.85,41.75,2.55,133.0
215,Dehradun,2025-11-16 10:42:26.824479+00:00,17.2,55.0,1.5,19.55,19.15,3.05,172.0
216,Delhi,2025-11-16 10:42:26.391893+00:00,26.2,26.0,3.194444444444444,63.05,60.95,17.15,142.0
217,Hyderabad,2025-11-16 10:42:26.417652+00:00,26.0,32.0,3.8055555555555554,39.65,36.95,3.45,159.0
218,Indore,2025-11-16 10:42:26.690396+00:00,25.2,28.0,3.0,46.65,39.65,2.45,143.0
219,Jaipur,2025-11-16 10:42:26.618734+00:00,27.1,16.0,1.0,27.25,24.35,3.95,135.0
220,Kolkata,2025-11-16 10:42:26.394878+00:00,27.4,45.0,2.888888888888889,73.05,67.45,5.35,197.0
221,Lucknow,2025-11-16 10:42:26.646664+00:00,26.3,34.0,1.8055555555555556,79.55,75.85,4.65,180.0
222,Mumbai,2025-11-16 10:42:26.425666+00:00,33.4,24.0,3.888888888888889,49.25,47.55,13.15,182.0
223,Patna,2025-11-16 10:42:26.630899+00:00,26.1,32.0,2.5,98.65,87.65,5.25,189.0
224,Pune,2025-11-16 10:42:26.599713+00:00,26.2,29.0,2.5,38.65,36.85,3.25,164.0
225,Surat,2025-11-16 10:42:26.822186+00:00,29.1,35.0,3.3055555555555554,75.15,71.65,24.95,121.0
226,Ahmedabad,2025-11-16 11:39:06.331056+00:00,28.3,20.0,3.3055555555555554,42.15,37.95,3.85,140.0
227,Bengaluru,2025-11-16 11:39:06.045568+00:00,25.1,69.0,3.1111111111111107,39.65,36.95,3.45,138.0
228,Bhopal,2025-11-16 11:39:06.389010+00:00,24.1,21.0,2.305555555555556,63.05,53.55,1.35,156.0
229,Chennai,2025-11-16 11:39:06.005022+00:00,28.1,79.0,7.888888888888888,49.95,41.95,2.45,133.0
230,Dehradun,2025-11-16 11:39:06.431727+00:00,13.7,61.0,1.0,22.05,21.55,0.85,187.0
231,Delhi,2025-11-16 11:39:06.138660+00:00,25.0,30.0,2.611111111111111,53.05,51.05,11.85,155.0
232,Hyderabad,2025-11-16 11:39:06.008796+00:00,26.2,32.0,3.8055555555555554,39.05,36.55,1.55,169.0
233,Indore,2025-11-16 11:39:06.335385+00:00,24.4,31.0,2.611111111111111,45.75,38.85,1.05,149.0
234,Jaipur,2025-11-16 11:39:06.230202+00:00,26.1,18.0,1.0,22.35,19.75,0.95,147.0
235,Kolkata,2025-11-16 11:39:06.011191+00:00,26.3,51.0,2.888888888888889,67.65,62.55,3.45,209.0
