id,city,timestamp,temperature,humidity,wind_speed,pm10,pm2_5,nitrogen_dioxide,ozone,hour,day,month,weekday
125,Dehradun,2025-11-16 10:16:35.820621+05:30,20.9,36.0,1.3888888888888888,20.65,20.35,28.95,5.0,10,16,11,Sunday
126,Delhi,2025-11-16 10:16:35.357391+05:30,17.2,55.0,2.111111111111111,72.35,67.65,24.35,46.0,10,16,11,Sunday
127,Hyderabad,2025-11-16 10:16:35.386419+05:30,23.3,38.0,3.1111111111111107,73.45,69.55,17.45,94.0,10,16,11,Sunday
128,Indore,2025-11-16 10:16:35.629902+05:30,21.3,40.0,4.111111111111112,53.05,49.65,13.95,56.0,10,16,11,Sunday
129,Jaipur,2025-11-16 10:16:35.600743+05:30,23.2,33.0,1.3055555555555556,45.35,41.25,25.75,35.0,10,16,11,Sunday
130,Kolkata,2025-11-16 10:16:35.400131+05:30,25.1,51.0,3.5,123.75,120.55,21.75,58.0,10,16,11,Sunday
131,Lucknow,2025-11-16 10:16:35.615801+05:30,21.1,49.0,1.1111111111111112,110.75,107.05,28.75,33.0,10,16,11,Sunday
132,Mumbai,2025-11-16 10:16:35.378292+05:30,27.0,37.0,3.8055555555555554,59.45,57.05,28.45,70.0,10,16,11,Sunday
133,Patna,2025-11-16 10:16:35.623029+05:30,21.1,49.0,2.694444444444444,107.25,98.85,18.45,57.0,10,16,11,Sunday
134,Pune,2025-11-16 10:16:35.597599+05:30,22.1,40.0,4.0,39.25,37.75,9.85,70.0,10,16,11,Sunday
135,Surat,2025-11-16 10:16:35.835055+05:30,26.3,36.0,4.888888888888889,60.25,58.35,35.95,51.0,10,16,11,Sunday
136,Ahmedabad,2025-11-16 11:12:22.729578+05:30,25.2,30.0,5.194444444444444,32.65,30.75,10.75,76.0,11,16,11,Sunday
137,Bengaluru,2025-11-16 11:12:22.484767+05:30,24.2,69.0,3.1111111111111107,53.35,49.35,9.75,99.0,11,16,11,Sunday
138,Bhopal,2025-11-16 11:12:22.884121+05:30,21.3,33.0,3.3888888888888884,57.15,52.65,10.65,74.0,11,16,11,Sunday
139,Chennai,2025-11-16 11:12:22.471193+05:30,28.2,79.0,8.694444444444445,40.35,33.55,3.25,117.0,11,16,11,Sunday
140,Dehradun,2025-11-16 11:12:22.922161+05:30,21.7,35.0,2.1944444444444446,20.45,20.15,28.45,6.0,11,16,11,Sunday
141,Delhi,2025-11-16 11:12:22.473846+05:30,20.3,46.0,2.5,77.25,73.05,28.65,41.0,11,16,11,Sunday
142,Hyderabad,2025-11-16 11:12:22.487167+05:30,24.2,36.0,3.3888888888888884,79.55,75.35,20.95,95.0,11,16,11,Sunday
143,Indore,2025-11-16 11:12:22.738584+05:30,24.1,34.0,3.8055555555555554,54.65,51.15,14.45,57.0,11,16,11,Sunday
144,Jaipur,2025-11-16 11:12:22.699948+05:30,24.1,24.0,1.3888888888888888,45.45,41.25,25.65,35.0,11,16,11,Sunday
145,Kolkata,2025-11-16 11:12:22.476349+05:30,26.2,48.0,3.5,124.25,120.95,21.25,72.0,11,16,11,Sunday
146,Lucknow,2025-11-16 11:12:22.726760+05:30,24.2,39.0,1.1944444444444444,114.05,110.55,26.85,38.0,11,16,11,Sunday
147,Mumbai,2025-11-16 11:12:22.482008+05:30,28.4,37.0,3.5,56.65,54.45,30.25,67.0,11,16,11,Sunday
148,Patna,2025-11-16 11:12:22.725084+05:30,23.0,41.0,2.611111111111111,113.55,105.65,18.85,62.0,11,16,11,Sunday
149,Pune,2025-11-16 11:12:22.764787+05:30,23.5,36.0,4.194444444444445,41.75,40.15,12.05,68.0,11,16,11,Sunday
150,Surat,2025-11-16 11:12:22.920083+05:30,28.0,32.0,4.694444444444444,59.65,57.75,35.95,49.0,11,16,11,Sunday
151,Ahmedabad,2025-11-16 12:19:24.589491+05:30,27.1,26.0,4.888888888888889,34.35,32.55,13.55,68.0,12,16,11,Sunday
152,Bengaluru,2025-11-16 12:19:24.356246+05:30,26.1,61.0,3.0,54.25,50.65,12.65,100.0,12,16,11,Sunday
153,Bhopal,2025-11-16 12:19:24.811879+05:30,23.3,25.0,3.194444444444444,58.05,53.85,10.95,74.0,12,16,11,Sunday
154,Chennai,2025-11-16 12:19:24.353497+05:30,29.1,75.0,9.0,41.55,34.45,4.25,119.0,12,16,11,Sunday
155,Dehradun,2025-11-16 12:19:24.760797+05:30,22.2,35.0,2.388888888888889,24.05,23.75,28.45,10.0,12,16,11,Sunday
156,Delhi,2025-11-16 12:19:24.372033+05:30,23.1,41.0,3.1111111111111107,84.95,81.15,34.55,36.0,12,16,11,Sunday
157,Hyderabad,2025-11-16 12:19:24.369340+05:30,25.0,30.0,3.611111111111111,85.65,81.65,26.05,96.0,12,16,11,Sunday
158,Indore,2025-11-16 12:19:24.630961+05:30,25.1,28.0,3.6944444444444446,56.85,53.35,15.25,60.0,12,16,11,Sunday
159,Jaipur,2025-11-16 12:19:24.563521+05:30,25.0,26.0,1.3055555555555556,47.15,43.15,26.05,37.0,12,16,11,Sunday
160,Kolkata,2025-11-16 12:19:24.381443+05:30,27.1,45.0,3.5,118.65,116.35,20.85,92.0,12,16,11,Sunday
161,Lucknow,2025-11-16 12:19:24.596623+05:30,25.4,32.0,1.0,117.25,114.45,25.55,47.0,12,16,11,Sunday
162,Mumbai,2025-11-16 12:19:24.340144+05:30,29.1,37.0,2.611111111111111,56.65,54.75,38.75,47.0,12,16,11,Sunday
163,Patna,2025-11-16 12:19:24.576413+05:30,25.1,34.0,2.388888888888889,114.05,107.95,19.45,72.0,12,16,11,Sunday
164,Pune,2025-11-16 12:19:24.525911+05:30,24.7,32.0,3.888888888888889,45.55,44.15,14.95,67.0,12,16,11,Sunday
165,Surat,2025-11-16 12:19:24.763604+05:30,29.0,30.0,4.0,60.95,59.05,35.25,49.0,12,16,11,Sunday
166,Ahmedabad,2025-11-16 13:09:04.567899+05:30,28.2,23.0,4.611111111111112,35.05,33.65,14.65,69.0,13,16,11,Sunday
167,Bengaluru,2025-11-16 13:09:03.792923+05:30,26.2,61.0,2.805555555555556,50.75,46.95,13.85,104.0,13,16,11,Sunday
168,Bhopal,2025-11-16 13:09:04.113534+05:30,24.2,22.0,3.194444444444444,53.75,50.55,10.35,81.0,13,16,11,Sunday
169,Chennai,2025-11-16 13:09:03.740291+05:30,29.4,70.0,9.0,42.55,35.15,4.75,121.0,13,16,11,Sunday
170,Dehradun,2025-11-16 13:09:04.222717+05:30,22.4,35.0,2.1944444444444446,27.05,26.45,26.15,27.0,13,16,11,Sunday
171,Delhi,2025-11-16 13:09:03.790977+05:30,24.1,36.0,3.194444444444444,83.75,80.75,36.95,43.0,13,16,11,Sunday
172,Hyderabad,2025-11-16 13:09:03.795991+05:30,26.1,30.0,3.8055555555555554,63.75,61.15,27.45,102.0,13,16,11,Sunday
173,Indore,2025-11-16 13:09:04.551435+05:30,25.1,28.0,3.3888888888888884,54.05,50.75,14.65,70.0,13,16,11,Sunday
174,Jaipur,2025-11-16 13:09:04.342042+05:30,26.3,17.0,1.6944444444444442,42.05,39.65,24.35,47.0,13,16,11,Sunday
175,Kolkata,2025-11-16 13:09:03.787841+05:30,28.4,42.0,3.5,112.85,109.85,19.25,116.0,13,16,11,Sunday
176,Lucknow,2025-11-16 13:09:04.034873+05:30,26.1,30.0,1.0,107.05,104.95,22.95,66.0,13,16,11,Sunday
177,Mumbai,2025-11-16 13:09:03.797748+05:30,30.4,33.0,1.611111111111111,51.95,50.05,31.45,77.0,13,16,11,Sunday
178,Patna,2025-11-16 13:09:04.021764+05:30,26.3,28.0,2.388888888888889,110.95,105.15,18.55,89.0,13,16,11,Sunday
179,Pune,2025-11-16 13:09:03.926041+05:30,25.6,29.0,3.611111111111111,41.95,40.75,15.75,76.0,13,16,11,Sunday
180,Surat,2025-11-16 13:09:04.213375+05:30,29.6,28.0,3.194444444444444,62.35,60.95,34.15,56.0,13,16,11,Sunday
181,Ahmedabad,2025-11-16 14:16:00.801441+05:30,29.2,19.0,4.388888888888889,35.75,33.75,12.45,85.0,14,16,11,Sunday
182,Bengaluru,2025-11-16 14:16:00.622197+05:30,27.1,58.0,2.694444444444444,44.85,41.45,11.55,113.0,14,16,11,Sunday
183,Bhopal,2025-11-16 14:16:00.957649+05:30,24.3,22.0,3.1111111111111107,50.95,46.45,7.95,102.0,14,16,11,Sunday
184,Chennai,2025-11-16 14:16:00.574970+05:30,29.4,75.0,9.0,42.85,35.45,4.25,124.0,14,16,11,Sunday
185,Dehradun,2025-11-16 14:16:01.142184+05:30,22.3,36.0,2.305555555555556,22.35,21.55,19.05,70.0,14,16,11,Sunday
186,Delhi,2025-11-16 14:16:00.587036+05:30,26.1,26.0,3.8055555555555554,80.25,77.45,32.75,73.0,14,16,11,Sunday
187,Hyderabad,2025-11-16 14:16:00.572270+05:30,26.3,30.0,3.888888888888889,51.25,47.75,21.15,120.0,14,16,11,Sunday
188,Indore,2025-11-16 14:16:00.826137+05:30,25.0,32.0,3.305555555555556,50.25,45.75,11.15,94.0,14,16,11,Sunday
189,Jaipur,2025-11-16 14:16:00.799219+05:30,27.4,16.0,1.805555555555556,33.45,30.85,18.25,73.0,14,16,11,Sunday
190,Kolkata,2025-11-16 14:16:00.577613+05:30,28.1,40.0,3.611111111111111,102.15,98.15,14.85,145.0,14,16,11,Sunday
191,Lucknow,2025-11-16 14:16:00.803623+05:30,27.0,30.0,1.0,98.65,96.55,17.25,106.0,14,16,11,Sunday
192,Mumbai,2025-11-16 14:16:00.554381+05:30,31.3,26.0,1.3055555555555556,59.75,57.65,37.45,93.0,14,16,11,Sunday
193,Patna,2025-11-16 14:16:00.829829+05:30,26.3,28.0,2.305555555555556,107.75,100.75,14.55,123.0,14,16,11,Sunday
194,Pune,2025-11-16 14:16:00.764279+05:30,26.2,27.0,3.305555555555556,41.35,39.75,12.45,101.0,14,16,11,Sunday
195,Surat,2025-11-16 14:16:01.002344+05:30,29.9,27.0,2.388888888888889,64.85,63.05,32.65,76.0,14,16,11,Sunday
196,Ahmedabad,2025-11-16 15:10:26.453511+05:30,29.4,20.0,4.305555555555555,36.35,33.75,8.65,109.0,15,16,11,Sunday
197,Bengaluru,2025-11-16 15:10:26.243796+05:30,26.2,61.0,3.1111111111111107,47.65,43.95,8.25,127.0,15,16,11,Sunday
198,Bhopal,2025-11-16 15:10:26.594706+05:30,24.3,21.0,3.3888888888888884,58.05,49.75,4.85,130.0,15,16,11,Sunday
